captions_funny,captions_sentimental,captions_selfie,captions_lyric
"Oh you’re a model? What’s your agency, Instagram?",Past is something that you can’t let go,Cinderella never asked for a prince,I’m dying to know: Is it killing you like it’s killing me?
I liked memes before they were on Instagram,If your love dies with the passage of time then it was never love,"Regardless of whatever crap life may throw at you, never stop having a moment filled with fun",I like the way you’re everything I’ve ever wanted.
"Friday, my second favorite F word.",seen messages but no replies were the reason she cried at night,"People won’t always love you. They may love what you bring to the table and love what you may do for them, but that doesn’t mean",I could dance to this beat forevermore.
"If a dentist makes their money from unhealthy teeth, why would I trust a product 4/5 of them recommend?",One broken relationship makes you question every relationship,"Before spending time trying to find someone, you must first find yourself.","I got that red lip, classic thing that you like."
"I didn’t choose the thug life, the thug life chose me","Before hurting some, just think about how would you feel if you were on there place",The best mistake to never repeat is to never cry for the same problem twice.,I make the moves up as I go.
"Weekend, please don’t leave me.",Continue on when you hear my voice telling you I moved on,"When a man is truly passionate about his woman, he will do whatever it takes to ensure her happiness with him.",We found wonderland — you and I got lost in it.
Need an ark? I Noah guy.,"A game of love composed of lots lovers, fake promises, and much trash words",Keep telling yourself good isn’t good enough. You deserve much more. You deserve GREATNESS.,The best people in life are free.
"What if I told you, you can eat without posting it on Instagram.","Get to my level, oh wait I forgot not even cheat codes can get you to my level","People won’t always love you. They may love what you bring to the table and love what you may do for them, but that doesn’t mean","We’re happy, free, confused, and lonely at the same time."
"I need a six month holiday, twice a year.","They say life is what you make it, and I make it gloomy",She acts like summer & walks like rain.,"I think when it’s all over, it just comes back in flashes, you know?"
"If I was funny, I would have a good Instagram caption.",Continue on when you hear my voice telling you I moved on,Hey girl,"And I think about summer, all the beautiful times."
"I don’t always surf the internet, but when I do, eyebrows!",Every one has a story but my story left me,Start by changing your thoughts; finish by changing your life.,It’s hard not to find it all a little bittersweet.
A blind man walks into a bar… And a chair… and a table.,Take away your mind and heart into this love game and you can be whoever you want to be! When you start from the bottom you can only go up!,Dime piece.,Wasn’t it beautiful when you believed in everything?
"I had fun once, it was horrible.","Sometimes you got to treat cheaters like stair steps, take another step and move on","Every path has obstacles, but it is up to you to continue to smile and walk that path.",Just because you’re clean don’t mean you don’t miss it.
I’m not shrewd. I simply wear glasses.,He cried every night and wake up like nothing bad ever happened,Take a ride on my energy.,Time won’t fly — it’s like I’m paralyzed by it.
I’m not certain what number of issues I have in light of the fact that math is one of them,My eyes shed tears every time I passed through the streets we walked together,There’s nothing wrong with being an amateur. Each and every one of us has had to start from somewhere.,I’ve found time can heal most anything.
I’m genuine and I trust some of my adherents are as well.,Her love abandoned her and then she abandoned love,Hating me doesn’t make you pretty.,“Whole squad on that real shit”
"I completely loathe Instagram, and whatever else needing to do with hashtags.","Falling in love will never feel the same after I met you, but I really don’t regret you, because seeing you broke me down inside knowing you’re not mine",The sun will shine someday,I still ride with my day one”
"I generally feel tragic for seedless watermelons, in light of the fact that imagine a scenario in which they needed infants.",Don’t allow what you think you want to make you hold on to what you know you don’t need.,Catch a glimpse.,“You the best I ever had”
"I am a performing artist and an essayist and I co-made my breakfast and my child, Malachai.",You will always owe me a reason to not to believe in love,Let it be.,“Let’s celebrate with a toast and get lost in tonight”
I am returning to face the truth that an ordinary day is not lager on the shoreline or calamari in the stomach.,"With You, I forget all my problems. With You, Time Stands Still.",I don’t know you,“Twenty-four-hour champagne diet”
I can quote (Insert motion picture) superior to anything you and every one of your companions.,We come to love by not finding the perfect person but by learning to see imperfect person perfectly.,Funny you mention that I was just thinking I don’t care,"“Live for today, plan for tomorrow, party tonight”"
I Can’t recall who I stole my bio from or why,"When I fell for you, I fell Hard","Regardless of whatever crap life may throw at you, never stop having a moment filled with fun",“I’m here for a good time not a long time”
I have not lost my brain its moved down on HD some place.,"If I ever write story about my life, don’t be surprised if your name appears billion time.",I do what I want!,“On my worst behavior”
I have this new hypothesis that human youthfulness doesn’t end until your mid thirties.,"I want you to be happy, but I want you to be happy with Me.",Best. Selfie. Ever.,“My excuse is that I’m young”
I trust one day I cherish something the route ladies in plugs love yogurt,It will be Always YOU.,This is why we can’t have nice things,“You only live once”
I’m truly a titan cupcake. Perplexed about crazy rides and dry ice,"If you are Mine, You are Mine. I don’t like Sharing.","If you got eyes, look at me now","“Worrying about your followers, you need to get your dollars up”"
On the off chance that I could hole up my life in one line I would pass on of humiliation,Nothing Can replace you!,Show anyone and I’ll kill you,“I’m up right now and you suck right now”
"On the off chance that you don’t have anything pleasant to say, come sit by me, and we can ridicule individuals together",I love you. That’s all I know.,Real men don’t take selfies,“I’m just saying you could do better”
"Looking for rest, rational soundness, & The Shire",I’m not perfect but I am Loyal.,Rock stars,“Think before you come for the great one”
Embed self important stuff about myself here.,Never love anyone who treats you like you’re ordinary.,Maybe she’s born with it,“If I die all i know is I’m a mothafuckin’ legend”
It’s Weird that all pics shared from Instagram are continually obscuring.,Trying to forget it but the memories are too strong.,This is my simple suburban life,"“Know yourself, know your worth”"
Only a cupcake searching for a stud biscuit,We all start as strangers.,Pizza and movies,“Every time you see me I look like I hit the lotto twice”
Simply one more papercut survivor,"Truth is, I’m crazy for you. And everyone can see that but you.",Being silly with the girls,“Call me the referee because I be so official”
"When nothing goes right, go left instead!","I act like I’m ok, but I’m really not.",It’s so beautiful when a boy smiles,"“Last name ever, first name greatest”"
"I need a six month holiday, twice a year.",Stop looking for happiness in the same place you just lost it.,I’m the girl you’ve always wanted,“Started from the bottom now we’re here”
"There may be no excuse for laziness, but I’m still looking.","Don’t worry if you haven’t found your true love, they’re just with someone else right now.",Take my selfie and be merry,“Fresher than a pillow with a mint on it”
A blind man walks into a bar And a chair and a table.,Never cry for that person who doesn’t know the value of your tears.,"It’s not a phase mom, it’s who I am",All we want is hot hot boys boys boys.”
"I don’t always surf the internet, but when I do, eyebrows!","If I die tomorrow, will you remember me?","I just got 30 likes, #selfiepro",“So baby raise a glass to mend all the broken hearts of all my wrecked up friends.”
"Yesterday, I changed my WiFi password to “Hackitifyoucan”; today, someone changed it to”ChallengeAccepted”.",Keep smiling because life is a beautiful thing and there’s so much to smile about.,We’re on our way to do science,“Some girls won’t dance to the beat of the track.”
Started from the bottom now we’re here.,,I don’t know you,“Stars in our eyes ‘cuz we’re having a good time.”
Give me the chocolate and nobody gets hurt.,,The sun will shine someday,"“Put some lipstick on, perfume your neck and slip your high heels on, rinse and curl your hair, loosen your hips and get a dress to wear.”"
"So, you’re on Instagram? You must be an amazing photographer.",,This is why we can’t have nice things,“Don’t tell me I’m less than my freedom.”
Onions make me sad. A lot of people don’t realize that.,,Hey girl,“I can’t believe I’m telling you this but I’ve had a couple of drinks and…oh my god!”
Women drivers rev my engine.,,I do what I want,"“Write what you want, say what you want ‘bout me, if you’re wondering, know that I’m not sorry.”"
"So, you’re on Instagram? You must be an amazing photographer.",,What do you think of the view?,"“I don’t wanna be alone forever, but I love gypsy life.”"
Real men don’t take selfies.,,You’re the best,"It’s good to live expensive, you know it.”"
I haven’t done this in a while so excuse me.,,I’ll do me,“Out in the club and I’m sipping’ that bub and you’re not gonna reach my telephone.”
I know I’m lucky that I’m so cute.,,Love your enemies,“I should’ve left my phone at home ‘cause this is a disaster.”
Onions make me sad. A lot of people don’t realize that.,,"Fresh out of the shower, no make up",“Get your hot rods ready to rumble ‘cause we’re gonna drink until we die.”
I’m your worst nightmare.,,Snapchat me,I can’t really see another squad tryna cross us
"Friday, my second favorite F word",,I changed all my passwords to Incorrect,"My team good, we don’t really need a masco"
Life isn’t perfect..But my Hair is! #selfieaddict,,"The soap, pick it up","Put your hands where I can see ‘em, so they look like 12 PM"
"I didn’t choose the thug life, the thug life chose me.",,You going to eat that chair?,"On the dot, see this glock? Don’t make me give these shells freedom"
When i was Rome.. I did what the Romans did.,,Everything I have I gave to you,Y’all cowards couldn’t rap this dope with a Zig-Zag
I will go into survival mode if tickled,,Life is better when you’re laughing,You hate it before you played it. I already forgave ya.
I’m not happy its “Friday” I’m happy its “Today”. Love your life 7 days a week.,,There’s a girl out there with love in her eyes and flowers in her hair,Life without knowledge is death in disguise
"I’m beginning to like Instagram, which is unusual on the grounds that I loathe pictures.",,Watching today from my bedroom,"I might be no body, but wait ‘til I’m together like a symphony"
I’ve generally believed being famous on Instagram is as about as futile as being rich in syndication,,Ugg life,Homicide’s illegal and death is the penalty/What justifies the homicide when he dies
I got back with my Ex…Box 360,,Fresh prints of Bel-air,"Worst comes to worst, my peoples come first"
So you’re telling me I have a chance.,,Welcome to H town,"Too ambitious and too damn timid, and too thrilled that the glass was half filled to wonder what was In It"
Walking past a class with your friends in it.,,All you need is love,I’m Phenomenal.
"I’m not saying it was aliens, but it was Aliens!",,Strong women rule the world,"when the sun rises, I wake up"
"Yea, dating is cool but have you ever had stuffed crust pizza?",,This is selfie,Kings never die
Started from the bottom now we’re here.,,"Funny you mention that, I was just thinking I don’t care","Fuck the police, and Ren said it with authority/Because the niggas on the street is a majority"
Give me the chocolate and nobody gets hurt.,,"I’m not lazy, just relaxed",The radio is just a stereo like a house ain’t a home
Lost in the world that doesn’t exist.,,We all shine on,I got this killa up inside of me/I can’t talk to my mother so I talk to my diary
Today I will be as useless as letter g in lasagna.,,Mind the gap,No question I would speed for cracks and weed/The combination made my eyes bleed.
You only drink diet soda? You must be so healthy.,,"Trying clothes on, do you like it?",The purpose of life is a life with a purpose. So I’d rather die for a cause than live a life that is worthless
The worst time to have a heart attack is during a game of charades.,,sweat pants or yoga pants?,You say you’re on your period? I ain’t hearin’ it. Put a rubber on. I ain’t fearin’ it
The moment when she says you’re cute.,,selfie_caption_funny,“You the best I ever had”
